test misc
    delante | framför
    mi padrastro | min styvfar
    mi hermanastro | min styvbror
    mi hermanastra | min styvsyster
    mi media hermana | min halvsyster
    mi media hermano | min halvbror

djur
    el perro | hunden
    el gato | katten
    el pez | fisken
    el conejo | kaninen
    la tortuga | sköldpaddan
    el hámster | hamstern
    el pájaro | fågeln
    el loro | papegojan
    el camaleón | kameleonten
    el erizo | igelkotten
    el hurón | illern
    la tarántula | tarantellan

aktiviteter
    ir al cine | gå på bio
    montar en bicicleta | cykla
    escuchar música | lyssna på musik
    tocar un instrumento | spela ett instrument
    bailar | dansa
    trotar | jogga
    dar un paseo | ta en promenad
    sacar fotografías | ta fotografier
    jugar al ajedrez | spela schack
    ver la tele | titta på TV
    salir con los amigos | gå ut med vänner
    leer | läsa
    navegar por Internet | surfa på Internet
    viajar | resa
    escribir cartas | skriva brev
    ir de compras | shoppa
    pintar | måla
    visitar museos | besöka museer
    cocinar | laga mat
    cuidar las plantas | ta hand om växter

väder
    estaciones del año | årstider
    el verano | sommaren
    el cielo | himlen
    está despejado | det är klart väder
    hace sol | det är soligt
    la nube | molnet
    no hay nubes | det finns inga moln
    hace calor | det är varmt
    más de 25°C | mer än 25°C
    la primavera | våren
    el otoño | hösten
    clima más moderado | mildare klimat
    hace buen tiempo | det är fint väder
    hace viento | det blåser
    el viento | vinden
    se nubla | det blir molnigt
    hay tormenta | det är storm
    el relámpago | blixten
    el trueno | åskan
    la lluvia | regnet
    llueve | det regnar
    la niebla | dimman
    hay niebla | det är dimmigt
    el granizo | haglet
    graniza | det haglar
    el hielo | isen
    hace frío | det är kallt
    nieva | det snöar
    la nieve | snön
    los copos de nieve | snöflingor
    se despeja | det klarnar upp
    sale el sol | solen kommer fram
    el arco iris | regnbågen
    el huracán | orkanen
    el tornado | tornadon
    hace mal tiempo | det är dåligt väder
    hace muy mal tiempo | mycket dåligt väder
    hiele | det fryser

månader
    enero | januari
    febrero | februari
    marzo | mars
    abril | april
    mayo | maj
    junio | juni
    julio | juli
    agosto | augusti
    septiembre | september
    octubre | oktober
    noviembre | november
    diciembre | december

veckodagar
    lunes | måndag
    martes | tisdag
    miércoles | onsdag
    jueves | torsdag
    viernes | fredag
    sábado | lördag
    domingo | söndag

säsonger
    la primavera | våren
    el verano | sommaren
    el otoño | hösten
    el invierno | vintern

oreg perfect 
    abrir, abierto | öppna
    decir, dicho | säga
    descubrir, descubierto | upptäcka
    describir, descrito | beskriva
    escribir, escrito | skriva
    hacer, hecho | göra
    morir, muerto | dö
    poner, puesto | sätta, ställa, lägga
    romper, roto | bryta, ha sönder
    ver, visto | se
    volver, vuelto | återvända
